8,"adm_user_role","accountant"
3,"adm_user_role","admin"
1,"adm_user_role","agent"
2,"adm_user_role","client"
5,"adm_user_role","dealer"
7,"adm_user_role","moderator"
4,"adm_user_role","superagent"
6,"adm_user_role","superdealer"
9,"adm_user_role","activator"
10,"adm_user_role","exporter"
10713,"country","abia"
11395,"country","ad"
18071,"country","ae"
12028,"country","af"
11419,"country","ag"
11393,"country","ai"
11240,"country","al"
11609,"country","am"
11435,"country","an"
11363,"country","ao"
11437,"country","ar"
10907,"country","at"
10724,"country","au"
12026,"country","aw"
11158,"country","az"
12648,"country","ba"
12096,"country","bb"
12079,"country","bd"
12169,"country","be"
12810,"country","bf"
12441,"country","bg"
12134,"country","bh"
12832,"country","bi"
12424,"country","bj"
12437,"country","bm"
12803,"country","bn"
12636,"country","bo"
12687,"country","br"
12056,"country","bs"
12844,"country","bt"
12673,"country","bw"
10322,"country","by"
12156,"country","bz"
16081,"country","ca"
16671,"country","cg"
20993,"country","ch"
16701,"country","ci"
16754,"country","ck"
20955,"country","cl"
16076,"country","cm"
16382,"country","cn"
16630,"country","co"
16684,"country","cr"
16724,"country","cu"
16047,"country","cv"
16293,"country","cy"
20893,"country","cz"
269,"country","de"
13779,"country","dj"
13558,"country","dk"
13780,"country","do"
11279,"country","dz"
21584,"country","ec"
21618,"country","ee"
13808,"country","eg"
13883,"country","eh"
21610,"country","er"
14440,"country","es"
21659,"country","et"
13806,"country","eund"
20004,"country","fi"
19951,"country","fj"
19949,"country","fo"
20291,"country","fr"
13026,"country","ga"
271,"country","gb"
13166,"country","gd"
13489,"country","ge"
20823,"country","gf"
13055,"country","gh"
13108,"country","gi"
13170,"country","gl"
13048,"country","gm"
13097,"country","gn"
13075,"country","gp"
21602,"country","gq"
13186,"country","gr"
13076,"country","gt"
13107,"country","guey"
13098,"country","gw"
13044,"country","gy"
13165,"country","hk"
13110,"country","hn"
20826,"country","hr"
13037,"country","ht"
12871,"country","hu"
14092,"country","id"
14232,"country","ie"
13900,"country","il"
17374,"country","im"
13963,"country","in"
14147,"country","iq"
14172,"country","ir"
14413,"country","is"
14990,"country","it"
13777,"country","je"
21878,"country","jm"
